Protein,Sample_DMSO_1,Sample_DMSO_2,Sample_DMSO_3,Sample_DMSO_4,Sample_DMSO_5,Sample_MTX_1,Sample_MTX_2,Sample_MTX_3,Sample_MTX_4,Sample_MTX_5,pvalue,delta_Sm
DHFR,1.009,0.989,0.989,1.043,0.97,2.593,2.694,2.43,2.342,2.649,1.31E-05,1.54153
DTYMK,1.046,0.977,0.989,0.999,0.989,0.875,0.866,0.848,0.808,0.845,1.75E-05,-0.15155
HSPG2,1.005,1.013,0.982,0.98,1.02,0.937,0.922,0.935,0.916,0.928,4.44E-05,-0.07233
PAPSS2,1.009,0.994,0.979,1.017,1.001,0.954,0.929,0.944,0.926,0.917,1.03E-04,-0.06604
PRPF38B,0.954,0.981,1.063,1.024,0.978,0.853,0.833,0.874,0.773,0.845,2.13E-04,-0.16429
RHEB,0.99,0.978,1.042,1.034,0.955,0.918,0.886,0.871,0.872,0.863,2.85E-04,-0.11804
PAPSS1,1.009,1.009,0.988,1.014,0.98,0.957,0.956,0.95,0.924,0.948,3.62E-04,-0.053
ATIC,1.008,0.994,0.99,1.01,0.998,1.099,1.129,1.171,1.182,1.169,4.09E-04,0.15027
TK1,1.032,0.956,0.99,1.018,1.004,0.881,0.88,0.816,0.809,0.916,4.44E-04,-0.13951
TYMS,1.047,0.956,0.992,1.05,0.956,1.591,1.459,1.787,1.833,1.525,5.61E-04,0.63935
HNRNPUL1,0.999,1.006,1.016,0.983,0.996,0.941,0.918,0.929,0.974,0.95,7.65E-04,-0.05773
RAB3B,0.982,0.987,1.034,1.012,0.985,0.934,0.95,0.871,0.879,0.91,1.06E-03,-0.09132
PTPRS,0.977,1.071,1.007,1,0.945,0.874,0.851,0.775,0.735,0.888,1.26E-03,-0.17553
DST,1.054,0.963,1.012,1.069,0.902,0.882,0.859,0.808,0.837,0.828,1.49E-03,-0.15705
ASMTL,1.008,0.992,0.992,1.035,0.973,0.936,0.948,0.893,0.848,0.897,1.62E-03,-0.09572
GART,1.034,0.993,0.989,1.038,0.946,1.198,1.14,1.159,1.144,1.036,2.77E-03,0.13531
GTF2F2,0.993,0.962,1.029,1.054,0.962,0.917,0.906,0.895,0.919,0.944,3.05E-03,-0.08386
CNTRL,1.031,1.035,1.036,0.923,0.975,0.839,0.673,0.819,0.908,0.831,3.14E-03,-0.18575
SSH3,1.081,0.992,0.941,1.049,0.937,1.161,1.133,1.12,1.222,1.094,3.65E-03,0.14594
GOLGA2,0.962,1.047,1.017,1.009,0.966,0.964,0.841,0.907,0.881,0.894,3.87E-03,-0.10261
DUS1L,1.036,0.976,0.96,1.017,1.009,0.93,0.87,0.937,0.837,0.936,4.17E-03,-0.09802
ABCF2,1.008,1.021,1.006,1.003,0.963,0.927,0.864,0.959,0.883,0.796,4.81E-03,-0.11422
LUZP1,1.007,1.035,0.987,1.002,0.969,0.978,0.885,0.929,0.925,0.941,6.13E-03,-0.06833
PSM8;PSMB8,1.046,0.996,0.979,0.962,1.017,1.051,1.049,1.059,1.094,1.124,6.51E-03,0.0753
BOD1L1,0.976,1.029,0.995,0.992,1.008,0.985,0.943,0.954,0.931,0.96,7.07E-03,-0.04544
LRRFIP2,1.02,0.995,1.02,0.987,0.978,1.018,1.034,1.076,1.053,1.071,7.15E-03,0.05032
NTPCR,0.996,0.956,0.993,1.073,0.981,0.941,0.932,0.907,0.82,0.852,7.27E-03,-0.10945
RAB32,1.001,0.964,1.032,1.003,0.999,0.975,0.907,0.93,0.84,0.92,8.11E-03,-0.08534
REXO2,0.988,1.021,1.011,0.985,0.995,0.965,0.988,0.97,0.973,0.966,8.39E-03,-0.02777
TOR1B,1.016,0.995,0.969,1.031,0.989,0.977,0.874,0.95,0.898,0.932,8.50E-03,-0.07375
TCERG1,1.008,1.012,0.997,1.019,0.964,0.978,0.914,0.969,0.927,0.943,8.60E-03,-0.05388
FAM207A,0.986,1.033,0.996,1.034,0.952,0.942,0.909,0.976,0.914,0.909,8.70E-03,-0.0699
BRIX1,0.985,0.984,1.035,1.012,0.984,1.045,1.077,1.02,1.121,1.084,8.81E-03,0.06929
HMGN4,1.06,1.033,1.036,0.94,0.931,1.167,1.348,1.043,1.173,1.28,8.82E-03,0.20226
PUS7,0.994,0.999,0.984,1.013,1.01,1.05,1.089,0.999,1.065,1.081,9.45E-03,0.05692
TXN2,0.914,1.078,1.038,0.962,1.008,0.894,0.869,0.895,0.885,0.936,9.62E-03,-0.10418
STRBP,0.962,0.986,1.012,1.021,1.019,1.037,1.035,1.139,1.1,1.073,9.68E-03,0.07659
RPL22,1.069,0.95,0.975,1.019,0.986,1.043,1.122,1.056,1.125,1.108,9.72E-03,0.09079
CAD,1.027,0.975,0.993,1.016,0.989,1.055,1.039,1.039,1.033,1.02,9.95E-03,0.03695
SEP8,1.016,1.025,0.988,0.98,0.991,1.044,1.068,1.028,1.016,1.066,1.06E-02,0.04453
