Protein,Sample_DMSO_1,Sample_DMSO_2,Sample_DMSO_3,Sample_DMSO_4,Sample_DMSO_5,Sample_MTX_1,Sample_MTX_2,Sample_MTX_3,Sample_MTX_4,Sample_MTX_5,pvalue,delta_Sm
DHFR,1.034,1.062,1.012,0.992,0.899,2.462,2.243,2.601,2.366,2.418,2.04E-08,1.41798
COA7,1.008,0.998,0.993,0.988,1.012,0.929,0.918,0.924,0.926,0.928,3.20E-07,-0.07506
GPX1,0.977,1.009,1.029,1.043,0.942,0.794,0.822,0.789,0.790,0.734,1.51E-05,-0.21431
ACAD9,1.011,1.001,0.994,1.008,0.986,1.054,1.053,1.044,1.068,1.065,1.86E-05,0.05682
PDK3,0.973,1.002,0.998,1.036,0.991,1.110,1.074,1.112,1.084,1.088,7.61E-05,0.09364
IKBKAP,0.990,1.020,1.013,0.959,1.018,1.078,1.088,1.095,1.121,1.105,1.04E-04,0.09743
U2AF2,0.996,0.991,0.996,1.005,1.012,0.953,0.942,0.941,0.969,0.929,1.28E-04,-0.05321
PTPN9,1.012,0.991,1.002,1.034,0.962,1.088,1.129,1.129,1.201,1.162,2.25E-04,0.14179
HINT2,0.982,0.990,1.048,1.004,0.977,0.930,0.866,0.867,0.901,0.882,2.37E-04,-0.11058
PSMA3,1.033,0.969,0.999,1.001,0.998,1.072,1.112,1.108,1.083,1.060,2.91E-04,0.08684
NFATC3,1.011,1.012,0.989,0.999,0.988,0.930,0.961,0.889,0.930,0.907,3.90E-04,-0.07667
POLR2I,0.983,1.009,1.016,0.995,0.997,0.935,0.945,0.951,0.971,0.928,4.10E-04,-0.05391
C1orf50,0.985,0.938,1.029,0.978,1.070,0.821,0.844,0.865,0.890,0.839,4.19E-04,-0.14812
AP2A1,1.030,1.000,0.992,1.006,0.972,1.062,1.046,1.079,1.061,1.062,4.45E-04,0.06206
TCAF1,1.021,1.014,0.967,1.013,0.985,1.125,1.059,1.114,1.121,1.070,4.56E-04,0.09761
KCTD5,1.016,0.990,1.010,0.987,0.998,0.945,0.968,0.947,0.917,0.941,4.70E-04,-0.05640
MSRB2,0.990,1.034,1.012,1.015,0.949,0.856,0.922,0.862,0.903,0.819,6.10E-04,-0.12741
PCM1,0.965,1.012,1.027,0.994,1.003,0.787,0.908,0.902,0.887,0.836,6.70E-04,-0.13609
PRDX5,1.009,0.968,0.968,1.048,1.008,0.841,0.896,0.935,0.872,0.887,7.38E-04,-0.11366
RSF1,0.994,1.023,0.994,0.989,1.001,0.969,0.953,0.957,0.965,0.972,7.42E-04,-0.03674
SHCBP1,1.017,0.997,0.990,1.021,0.975,1.082,1.075,1.100,1.062,1.152,7.56E-04,0.09422
SRGAP2;SRGAP2B,1.002,1.009,0.987,1.000,1.003,0.971,0.974,0.967,0.985,0.978,7.57E-04,-0.02497
TRMT1L,1.040,1.019,1.018,1.003,0.921,1.147,1.132,1.110,1.090,1.163,7.65E-04,0.12833
INTS2,1.036,1.009,1.015,0.984,0.956,1.132,1.122,1.064,1.146,1.079,8.62E-04,0.10869
FUK,1.007,0.987,0.994,1.037,0.975,1.090,1.052,1.068,1.051,1.067,9.19E-04,0.06557
EWSR1,0.988,0.999,1.011,0.983,1.018,0.943,0.948,0.928,0.964,0.902,9.25E-04,-0.06309
RIN1,1.001,1.031,0.989,0.988,0.992,1.106,1.079,1.075,1.104,1.032,9.88E-04,0.07890
SRSF11,0.987,1.020,1.018,0.972,1.003,0.889,0.927,0.901,0.966,0.905,1.01E-03,-0.08238
TOR3A,1.016,1.038,1.016,1.038,0.892,1.166,1.132,1.145,1.133,1.229,1.20E-03,0.16096
KIF2C,1.001,0.997,1.044,1.016,0.943,1.143,1.112,1.110,1.059,1.092,1.33E-03,0.10327
EEF1E1;EEF1E1-BLOC1S5,1.052,1.036,0.941,1.051,0.920,1.163,1.143,1.177,1.111,1.219,1.37E-03,0.16260
CHERP,1.020,1.011,0.997,0.998,0.975,0.924,0.973,0.953,0.942,0.947,1.41E-03,-0.05237
ARPIN;C15orf38-AP3S2,0.999,0.988,1.022,0.959,1.031,0.878,0.934,0.904,0.947,0.922,1.42E-03,-0.08315
NAPG,1.005,0.987,1.021,0.986,1.001,0.922,0.957,0.904,0.939,0.861,1.53E-03,-0.08326
