Protein,Sample_DMSO_1,Sample_DMSO_2,Sample_DMSO_3,Sample_DMSO_4,Sample_DMSO_5,Sample_5FU_1,Sample_5FU_2,Sample_5FU_3,Sample_5FU_4,Sample_5FU_5,pvalue,delta_Sm,,,,,,,,,,,,,,,,
ACAT1,1.071,1.019,0.900,0.993,1.018,0.672,0.612,0.753,0.588,0.613,2.62E-05,-0.35237,,,,,,,,,,,,,,,,
ETS1,1.027,1.045,0.931,1.000,0.998,1.186,1.143,1.180,1.053,1.132,1.99E-03,0.13869,,,,,,,,,,,,,,,,
TDP2,0.965,0.998,1.009,1.017,1.010,1.035,1.101,1.049,1.064,1.061,2.52E-03,0.06210,,,,,,,,,,,,,,,,
CTSL,0.986,1.003,1.013,0.996,1.002,1.040,1.035,1.044,1.043,1.007,3.21E-03,0.03376,,,,,,,,,,,,,,,,
ARPC1A,1.020,1.030,0.955,0.947,1.049,1.113,1.114,1.058,1.107,1.075,4.28E-03,0.09322,,,,,,,,,,,,,,,,
NUP107,0.991,1.004,0.976,1.022,1.008,1.007,1.055,1.040,1.050,1.046,8.55E-03,0.03978,,,,,,,,,,,,,,,,
POLR2H,0.998,1.009,1.010,0.999,0.984,1.089,1.033,1.025,1.035,1.029,1.10E-02,0.04197,,,,,,,,,,,,,,,,
TGFB1,1.005,0.975,0.987,1.042,0.991,1.059,1.023,1.037,1.071,1.113,1.41E-02,0.06052,,,,,,,,,,,,,,,,
MAT2B,0.978,0.846,0.979,1.147,1.050,0.581,0.864,0.505,0.918,0.676,1.45E-02,-0.29135,,,,,,,,,,,,,,,,
IMPA2,1.018,1.009,1.035,0.947,0.991,1.078,1.130,1.049,1.028,1.068,1.48E-02,0.07081,,,,,,,,,,,,,,,,
CA13,0.954,1.002,1.029,1.012,1.002,1.037,1.056,1.048,1.050,1.054,1.50E-02,0.04883,,,,,,,,,,,,,,,,
TMA16,0.989,0.966,1.035,0.987,1.023,0.961,0.974,0.938,0.935,0.968,1.68E-02,-0.04477,,,,,,,,,,,,,,,,
PHYH,0.996,1.070,0.979,0.996,0.959,1.054,1.085,1.210,1.086,1.067,1.78E-02,0.10045,,,,,,,,,,,,,,,,
EAPP,1.048,0.927,1.125,0.873,1.027,0.765,0.873,0.873,0.909,0.854,2.13E-02,-0.14518,,,,,,,,,,,,,,,,
PRR14L,1.053,1.073,0.977,0.943,0.953,1.098,1.110,1.029,1.092,1.099,2.19E-02,0.08577,,,,,,,,,,,,,,,,
SARS,0.997,1.025,1.015,0.975,0.989,1.026,1.041,1.031,1.010,1.046,2.30E-02,0.03071,,,,,,,,,,,,,,,,
ZNF280D,0.881,1.045,0.969,1.126,0.979,1.162,1.224,1.023,1.144,1.196,2.35E-02,0.14990,,,,,,,,,,,,,,,,
CRTC1,1.033,1.041,1.055,0.949,0.923,0.838,0.878,0.766,0.816,1.015,2.54E-02,-0.13723,,,,,,,,,,,,,,,,
DMTN,1.014,1.043,1.018,0.969,0.957,0.988,0.946,0.929,0.924,0.947,2.59E-02,-0.05322,,,,,,,,,,,,,,,,
SUZ12,0.986,1.019,0.993,0.971,1.030,0.957,0.996,0.954,0.934,0.958,2.62E-02,-0.04035,,,,,,,,,,,,,,,,
FOXJ3,1.071,1.103,0.942,0.972,0.911,1.338,1.064,1.160,1.071,1.207,2.77E-02,0.16812,,,,,,,,,,,,,,,,
TLE4,0.995,1.026,1.013,0.985,0.982,1.021,1.025,1.023,1.017,1.037,2.81E-02,0.02448,,,,,,,,,,,,,,,,
ACTR6,0.954,0.983,1.031,1.036,0.997,0.976,1.132,1.093,1.106,1.098,3.15E-02,0.08097,,,,,,,,,,,,,,,,
TM6SF2,1.040,1.112,1.008,0.881,0.959,1.186,1.031,1.065,1.208,1.271,3.36E-02,0.15215,,,,,,,,,,,,,,,,
RNF113A,1.007,1.001,0.982,1.028,0.982,0.948,0.893,1.008,0.947,0.947,3.48E-02,-0.05131,,,,,,,,,,,,,,,,
DLG1,1.080,1.005,0.917,1.045,0.954,0.817,1.032,0.808,0.866,0.836,3.54E-02,-0.12801,,,,,,,,,,,,,,,,
TSC1,1.017,1.067,0.972,0.991,0.953,1.113,1.032,1.052,1.037,1.075,3.72E-02,0.06190,,,,,,,,,,,,,,,,
EEF2KMT;FAM86B2;FAM86B1;FAM86C1;FAM86C2P,1.013,0.958,0.963,1.021,1.045,0.934,0.911,0.949,0.924,1.000,3.93E-02,-0.05639,,,,,,,,,,,,,,,,
TBC1D8B,0.949,1.035,0.986,1.038,0.992,1.018,1.073,1.094,1.033,1.044,4.10E-02,0.05251,,,,,,,,,,,,,,,,
SMG6,1.008,1.040,1.012,0.957,0.983,1.023,1.094,1.265,1.047,1.114,4.11E-02,0.10861,,,,,,,,,,,,,,,,
PDLIM1,0.991,0.998,1.005,1.021,0.985,0.999,0.980,0.977,0.979,0.967,4.41E-02,-0.01959,,,,,,,,,,,,,,,,
AP2A2,0.998,0.999,0.979,1.050,0.974,0.951,0.955,0.976,0.964,0.980,4.55E-02,-0.03487,,,,,,,,,,,,,,,,
